"Month";"Total";"Embarking passengers"
2008-01;12.759358;6.297382
2008-02;13.158147;6.639732
2008-03;15.040662;7.526601
2008-04;15.760731;7.887765
2008-05;17.228091;8.682235
2008-06;17.44426;8.890847
2008-07;18.263673;9.362564
2008-08;17.814788;8.738148
2008-09;18.025547;8.928525
2008-10;17.524884;8.531031
2008-11;13.650647;6.727611
2008-12;12.579155;6.337993
2009-01;11.619739;5.707604
2009-02;11.587467;5.887663
2009-03;13.964778;6.990123
2009-04;14.844724;7.426503
2009-05;15.928278;8.145698
2009-06;16.402526;8.180287
2009-07;17.738404;9.206301
2009-08;17.364086;8.506976
2009-09;17.238134;8.486156
2009-10;17.297057;8.478362
2009-11;13.745893;6.784022
2009-12;12.888781;6.503122
2010-01;11.853211;5.834196
2010-02;11.64119;5.893322
2010-03;15.248623;7.757166
2010-04;12.389532;6.072751
2010-05;17.139872;8.789416
2010-06;17.600539;8.777097
2010-07;19.013393;9.874046
2010-08;18.702927;9.171383
2010-09;18.993429;9.361766
2010-10;18.877952;9.271938
2010-11;14.826338;7.311591
2010-12;12.949059;6.531003
2011-01;12.807663;6.301035
2011-02;12.499125;6.289785
2011-03;15.261125;7.617683
2011-04;16.132673;8.125408
2011-05;18.082404;9.07632
2011-06;18.14791;9.117743
2011-07;19.639187;10.101402
2011-08;18.920967;9.406445
2011-09;19.504749;9.569661
2011-10;18.89032;9.284606
2011-11;15.06951;7.329273
2011-12;13.909717;6.987652
2012-01;13.081736;6.446078
2012-02;12.746607;6.427967
2012-03;15.763544;7.961128
2012-04;16.410965;8.123788
2012-05;18.107388;9.200794
2012-06;18.711116;9.342188
2012-07;20.03614;10.307012
2012-08;19.477604;9.61621
2012-09;19.651096;9.679108
2012-10;19.153989;9.386866
2012-11;14.794649;7.202669
2012-12;13.340038;6.716721
2013-01;12.514898;6.154892
2013-02;12.37372;6.248861
2013-03;15.582143;7.910567
2013-04;16.464735;8.118095
2013-05;18.374435;9.31243
2013-06;19.127309;9.544418
2013-07;20.109585;10.315401
2013-08;19.899859;9.882682
2013-09;20.07389;9.879447
2013-10;19.563228;9.58723
2013-11;14.917996;7.258132
2013-12;13.603878;6.87427
2014-01;12.931342;6.345261
2014-02;12.77437;6.474107
2014-03;15.476155;7.683872
2014-04;16.731695;8.432837
2014-05;18.811154;9.472215
2014-06;19.645105;9.691423
2014-07;20.361265;10.613212
2014-08;21.089764;10.527339
2014-09;20.990624;10.22542
2014-10;20.073156;9.853071
2014-11;15.623266;7.600641
2014-12;14.089965;7.134422
2015-01;13.279969;6.494861
2015-02;13.208132;6.679096
2015-03;16.308278;8.261576
2015-04;17.580696;8.652517
2015-05;19.912492;10.124949
2015-06;20.37123;10.079547
2015-07;21.581978;11.168876
2015-08;22.011029;10.928163
2015-09;21.377037;10.416883
2015-10;21.1261;10.38645
2015-11;15.368987;7.490508
2015-12;14.608096;7.416712
2016-01;13.863464;6.768967
2016-02;14.168534;7.163053
2016-03;17.061126;8.635234
2016-04;17.647679;8.705651
2016-05;20.076907;10.065648
2016-06;20.682259;10.386417
2016-07;22.448433;11.605089
2016-08;22.062881;10.90216
2016-09;22.508537;11.094221
2016-10;21.799899;10.625878
2016-11;15.947637;7.782639
2016-12;15.807433;8.009115
2017-01;14.850291;7.265288
2017-02;14.598988;7.392116
2017-03;17.684393;8.807684
2017-04;19.871247;9.95217
2017-05;21.346098;10.69523
2017-06;22.030214;11.04425
2017-07;23.86159;12.286687
2017-08;23.414981;11.55351
2017-09;23.490826;11.591282
2017-10;22.303164;11.006645
2017-11;16.904261;8.081086
2017-12;15.676574;7.94693
2018-01;14.963062;7.303472
2018-02;14.931439;7.55281
2018-03;18.744269;9.556017
2018-04;19.951784;9.836353
2018-05;21.887155;11.039968
2018-06;22.597534;11.256163
2018-07;24.571032;12.649066
2018-08;24.30352;11.960048
2018-09;24.398794;12.085226
2018-10;23.974083;11.677256
2018-11;18.217452;8.839116
2018-12;17.337272;8.818457
2019-01;15.839681;7.697662
2019-02;15.698823;7.938904
2019-03;19.216066;9.552475
2019-04;21.144112;10.671006
2019-05;22.402582;11.22114
2019-06;23.609717;11.778261
2019-07;24.826746;12.822536
2019-08;24.545994;12.060083
2019-09;24.287611;11.96168
2019-10;23.66309;11.532175
2019-11;17.552726;8.548748
2019-12;17.005357;8.659166
2020-01;15.582438;7.560847
2020-02;15.130125;7.642292
2020-03;7.13674;3.233754
2020-04;0.292538;0.103374
2020-05;0.46445;0.212104
2020-06;1.503729;0.816224
2020-07;4.952233;2.738088
2020-08;6.029971;2.877215
2020-09;4.741542;2.265639
2020-10;4.013067;1.913299
